;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100118000000,0;132170000000,0
BPA diluido sin extraordinarios;1,0285;1,4088092892594024;0,9112197621415608;2,185;2,4579999999999997;2,9305;5,61;4,56;5,8;8,04;10,81
Promedio ponderado de acciones diluidas en circulacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12447000000,0;12230000000,0
Promedio ponderado de acciones basicas en circulacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12319000000,0;12116000000,0
Total de acciones fuera. en la fecha de presentacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12211000000,0;12088000000,0
Dividendo por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,83
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,0455;1,4088092892594024;0,9112197621415608;2,211;2,4795000000000003;2,9575;5,694;4,59;5,84;8,13;10,91
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;19755000000,0;24274000000,0;27302000000,0;35027000000,0;39725000000,0;48217000000,0;91080000000,0;71685000000,0;86025000000,0;119815000000,0;158826000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;12282000000,0;13948000000,0;16625000000,0;21419000000,0;26018000000,0;27573000000,0;31562000000,0;39500000000,0;45427000000,0;49326000000,0;61087000000,0
Gastos de venta y marketing;9047000000,0;10485000000,0;12893000000,0;16333000000,0;18464000000,0;17946000000,0;22912000000,0;26567000000,0;27917000000,0;27808000000,0;28693000000,0
Gastos generales y administrativos;6136000000,0;6985000000,0;6872000000,0;8126000000,0;9551000000,0;11052000000,0;13510000000,0;15724000000,0;16425000000,0;14188000000,0;21482000000,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;16549000000,0;12918000000,0;10715000000,0;16701000000,0;18498000000,0;26465000000,0;20945000000,0;21879000000,0;24048000000,0;23466000000,0;30708000000,0
Inversiones a corto plazo;56517000000,0;73415000000,0;91156000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;56517000000,0;73415000000,0;91156000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;73066000000,0;86333000000,0;101871000000,0;109140000000,0;119675000000,0;136694000000,0;139649000000,0;113762000000,0;110916000000,0;95657000000,0;126843000000,0
Cuentas por cobrar;11556000000,0;14137000000,0;18336000000,0;20838000000,0;25326000000,0;30930000000,0;39304000000,0;40258000000,0;47964000000,0;52340000000,0;62886000000,0
Otros por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;11556000000,0;14137000000,0;18336000000,0;20838000000,0;25326000000,0;30930000000,0;39304000000,0;40258000000,0;47964000000,0;52340000000,0;62886000000,0
Inventario;0,0;268000000,0;749000000,0;1107000000,0;999000000,0;728000000,0;1170000000,0;2670000000,0;0,0;0,0;0,0
Gastos pagados por anticipado;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;0,0;0,0;2983000000,0;4236000000,0;4412000000,0;5490000000,0;7054000000,0;8105000000,0;12650000000,0;15714000000,0;16309000000,0
