;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Beneficio neto a acciones comunes excluidos extradordinarios;550000000,0;750700000,0;886300000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;1,5;2,03;2,36;2,74;3,81;4,29;6,41;11,41;16,51;13,82;14,34;11,57
Promedio ponderado de acciones diluidas en circulacion;366600000,0;369800000,0;375100000,0;378900000,0;383400000,0;377400000,0;370200000,0;365800000,0;354800000,0;343300000,0;331600000,0;309900000,0
Promedio ponderado de acciones basicas en circulacion;340500000,0;366300000,0;371000000,0;374300000,0;376600000,0;372600000,0;365500000,0;361100000,0;351700000,0;340700000,0;329500000,0;308500000,0
Total de acciones fuera. en la fecha de presentacion;364586694,0;368702046,0;372928187,0;375037829,0;376274635,0;368493204,0;364390995,0;356529507,0;344341227,0;333184374,0;321169526,0;292060538,0
Dividendo por accion;0,1375;0,25;0,32;0,4;0,0;0,6;0,7;0,8;0,9;1,0;1,2;1,6
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,57;2,05;2,39;2,77;3,88;4,34;6,49;11,56;16,65;13,93;14,44;11,62
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;814200000,0;1123400000,0;1505800000,0;1731400000,0;2058000000,0;2125200000,0;2976200000,0;5493100000,0;7754100000,0;6468700000,0;6438800000,0;4945900000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
