;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;-241000000,0;596000000,0;2371000000,0;3033000000,0;10073000000,0;11588000000,0;21331000000,0;33364000000,0;-2722000000,0;30425000000,0;59248000000,0;77670000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;-0,026000000000000002;0,0625;0,24500000000000002;0,3075;1,0070000000000001;1,1505;2,0915;3,2405;-0,27;2,9;5,53;7,17
Promedio ponderado de acciones diluidas en circulacion;9240000000,0;9540000000,0;9680000000,0;9860000000,0;10000000000,0;10080000000,0;10200000000,0;10300000000,0;10189000000,0;10492000000,0;10721000000,0;10827000000,0
Promedio ponderado de acciones basicas en circulacion;9240000000,0;9340000000,0;9480000000,0;9600000000,0;9740000000,0;9880000000,0;10000000000,0;10120000000,0;10189000000,0;10304000000,0;10473000000,0;10656000000,0
Total de acciones fuera. en la fecha de presentacion;9287678780,0;9416840700,0;9543412360,0;9682143660,0;9824057800,0;9956208880,0;10071294860,0;10176888200,0;10247259757,0;10387381291,0;10597729352,0;10734920870,0
Dividendo por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;-0,026000000000000002;0,064;0,2505;0,316;1,034;1,173;2,132;3,2979999999999996;-0,27;2,95;5,66;7,29
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;136000000,0;2005000000,0;4280000000,0;4650000000,0;12687000000,0;15562000000,0;25841000000,0;39964000000,0;2862000000,0;40727000000,0;68513000000,0;96757000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;4332000000,0;5254000000,0;7233000000,0;10069000000,0;13814000000,0;18878000000,0;22008000000,0;32551000000,0;42238000000,0;44370000000,0;43907000000,0;47129000000,0
Gastos generales y administrativos;1552000000,0;1747000000,0;2432000000,0;3674000000,0;4336000000,0;5203000000,0;6668000000,0;8823000000,0;11891000000,0;11816000000,0;11359000000,0;11172000000,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;14557000000,0;15890000000,0;19334000000,0;20522000000,0;31750000000,0;36092000000,0;42122000000,0;36220000000,0;53888000000,0;73387000000,0;78779000000,0;86810000000,0
Inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;17416000000,0;19808000000,0;25981000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cuentas por cobrar;5612000000,0;6423000000,0;8339000000,0;13164000000,0;16677000000,0;20816000000,0;24542000000,0;32891000000,0;42360000000,0;52253000000,0;55451000000,0;67729000000,0
Otros por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;5612000000,0;6423000000,0;8339000000,0;13164000000,0;16677000000,0;20816000000,0;24542000000,0;32891000000,0;42360000000,0;52253000000,0;55451000000,0;67729000000,0
Inventario;8299000000,0;10243000000,0;11461000000,0;16047000000,0;17174000000,0;20497000000,0;23795000000,0;32640000000,0;34405000000,0;33318000000,0;34214000000,0;38325000000,0
Gastos pagados por anticipado;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5400000000,0;6300000000,0;6900000000,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro activo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de activo corriente;31327000000,0;36474000000,0;45781000000,0;60197000000,0;75101000000,0;96334000000,0;132733000000,0;161580000000,0;146791000000,0;172351000000,0;190867000000,0;229083000000,0
Inmobilizado material bruto;22730000000,0;30053000000,0;42441000000,0;68573000000,0;95770000000,0;119680000000,0;0,0;0,0;0,0;0,0;0,0;534098000000,0
Depreciacion acumulada;5763000000,0;8215000000,0;13327000000,0;19707000000,0;33973000000,0;46975000000,0;0,0;0,0;0,0;0,0;0,0;177073000000,0
Inmobilizado material neto;16967000000,0;21838000000,0;29114000000,0;48866000000,0;61797000000,0;72705000000,0;0,0;0,0;0,0;0,0;0,0;357025000000,0
Inversiones a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondo de comercio;3319000000,0;3759000000,0;3784000000,0;13350000000,0;14548000000,0;14754000000,0;15017000000,0;15371000000,0;20288000000,0;22789000000,0;23074000000,0;23273000000,0
Otros intangibles;0,0;0,0;0,0;3371000000,0;4110000000,0;4049000000,0;4981000000,0;5107000000,0;6097000000,0;7687000000,0;8602000000,0;9197000000,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;0,0;17095000000,0;18060000000,0;15670000000,0;11386000000,0;10077000000,0;9227000000,0;10742000000,0
Division financiera Otros activos a largo plazo;2892000000,0;3373000000,0;4723000000,0;8897000000,0;11202000000,0;16314000000,0;22778000000,0;27235000000,0;42758000000,0;56024000000,0;82147000000,0;122607000000,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
