;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;12193000000,0;16798000000,0;21204000000,0;16571000000,0;39240000000,0;44281000000,0;61271000000,0;72738000000,0;72361000000,0;88136000000,0;101832000000,0;133749000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;1,48;2,1;2,71;2,13;5,06;5,76;8,05;9,65;9,68;11,8;13,64;17,95
Promedio ponderado de acciones diluidas en circulacion;8254000000,0;8013000000,0;7832000000,0;7794000000,0;7753000000,0;7683000000,0;7608000000,0;7540000000,0;7472000000,0;7469000000,0;7465000000,0;7453000000,0
Promedio ponderado de acciones basicas en circulacion;8177000000,0;7925000000,0;7746000000,0;7700000000,0;7673000000,0;7610000000,0;7547000000,0;7496000000,0;7446000000,0;7431000000,0;7433000000,0;7429000000,0
Total de acciones fuera. en la fecha de presentacion;7997980969,0;7792515573,0;7702243979,0;7668217316,0;7635409400,0;7567652935,0;7514891248,0;7457891872,0;7429763722,0;7433038381,0;7433166379,0;7425545491,0
Dividendo por accion;1,24;1,44;1,56;1,68;1,84;2,04;2,24;2,48;2,72;3,0;3,32;3,64
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,49;2,12;2,74;2,15;5,11;5,82;8,12;9,7;9,72;11,86;13,7;18,0
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;19288000000,0;20994000000,0;25371000000,0;39207000000,0;46374000000,0;55627000000,0;73448000000,0;85779000000,0;91279000000,0;110722000000,0;123627000000,0;165934000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;12046000000,0;11988000000,0;13037000000,0;14726000000,0;16876000000,0;19269000000,0;20716000000,0;24512000000,0;27195000000,0;29510000000,0;32488000000,0;35562000000,0
Gastos de venta y marketing;15713000000,0;14697000000,0;15539000000,0;17469000000,0;18213000000,0;19598000000,0;20117000000,0;21825000000,0;22759000000,0;24456000000,0;25654000000,0;26710000000,0
Gastos generales y administrativos;4611000000,0;4563000000,0;4481000000,0;4754000000,0;4885000000,0;5111000000,0;5107000000,0;5900000000,0;7575000000,0;7609000000,0;7223000000,0;7956000000,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;5595000000,0;6510000000,0;7663000000,0;11946000000,0;11356000000,0;13576000000,0;14224000000,0;13931000000,0;34704000000,0;18315000000,0;30242000000,0;20935000000,0
Inversiones a corto plazo;90931000000,0;106730000000,0;125318000000,0;121822000000,0;122463000000,0;122951000000,0;116110000000,0;90826000000,0;76558000000,0;57228000000,0;64323000000,0;55908000000,0
Activos financieros para vender;90931000000,0;106730000000,0;125318000000,0;121822000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;96526000000,0;113240000000,0;132981000000,0;133768000000,0;133819000000,0;136527000000,0;130334000000,0;104757000000,0;111262000000,0;75543000000,0;94565000000,0;76843000000,0
Cuentas por cobrar;17908000000,0;18277000000,0;19792000000,0;26481000000,0;29524000000,0;32011000000,0;38043000000,0;44261000000,0;48688000000,0;56924000000,0;69905000000,0;80876000000,0
Otros por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
