;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Beneficio neto de la empresa;4956000000,0;4833000000,0;5050000000,0;4858000000,0;5349000000,0;4570000000,0;5384000000,0;5921000000,0;5777000000,0;-6995000000,0;4173000000,0;3250000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;7,49;7,58;8,16;7,93;8,89;7,81;9,25;10,12;10,18;-12,63;7,55;6,0
Promedio ponderado de acciones diluidas en circulacion;662000000,0;637200000,0;618700000,0;612700000,0;602000000,0;585100000,0;582200000,0;585300000,0;567600000,0;553900000,0;552400000,0;541300000,0
Promedio ponderado de acciones basicas en circulacion;649200000,0;625600000,0;604700000,0;597500000,0;588500000,0;577000000,0;577600000,0;579000000,0;566000000,0;553900000,0;550800000,0;537400000,0
Total de acciones fuera. en la fecha de presentacion;634749706,0;605038186,0;596200000,0;595500000,0;575800000,0;575600000,0;579100000,0;571100000,0;550500000,0;552700000,0;542900000,0;526700000,0
Dividendo por accion;3,59;3,075;4,44;4,7;5,44;5,76;5,88;5,92;5,96;6,0;3,61;2,92
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;7,63;7,72;8,35;8,13;9,09;7,92;9,32;10,23;10,21;-12,63;7,58;6,05
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;6984000000,0;6815000000,0;7045000000,0;7859000000,0;7336000000,0;6148000000,0;7231000000,0;7694000000,0;6851000000,0;-3362000000,0;5449000000,0;4701000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;1193000000,0;1223000000,0;1225000000,0;1352000000,0;1253000000,0;1253000000,0;1146000000,0;1243000000,0;1100000000,0;1000000000,0;700000000,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;1897000000,0;1798000000,0;2398000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inversiones a corto plazo;626000000,0;118000000,0;280000000,0;1076000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;626000000,0;118000000,0;280000000,0;1076000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
