;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Promedio ponderado de acciones diluidas en circulacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Promedio ponderado de acciones basicas en circulacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de acciones fuera. en la fecha de presentacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dividendo por accion;0,4;0,12;0,14;0,165;0,0;0,25;0,3;0,32;0,375;0,45;0,52;0,59
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;7724000000,0;8995000000,0;8012000000,0;11694000000,0;12806000000,0;14884000000,0;13790000000,0;16063000000,0;18136000000,0;21037000000,0;23916000000,0;24194000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;507000000,0;547000000,0;796000000,0;1060000000,0;1145000000,0;1196000000,0;1096000000,0;985000000,0;1194000000,0;1330000000,0;1598000000,0;1926000000,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;1971000000,0;3518000000,0;5619000000,0;9874000000,0;8162000000,0;7838000000,0;16289000000,0;16487000000,0;15689000000,0;16286000000,0;11975000000,0;17164000000,0
Inversiones a corto plazo;1910000000,0;2431000000,0;3248000000,0;3482000000,0;3449000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;1910000000,0;2431000000,0;3248000000,0;3482000000,0;3449000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;3881000000,0;5949000000,0;8867000000,0;13356000000,0;11611000000,0;7838000000,0;16289000000,0;16487000000,0;15689000000,0;16286000000,0;11975000000,0;17164000000,0
Cuentas por cobrar;822000000,0;847000000,0;1041000000,0;1132000000,0;1208000000,0;1542000000,0;1618000000,0;1968000000,0;2020000000,0;2291000000,0;2561000000,0;3126000000,0
Otros por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;822000000,0;847000000,0;1041000000,0;1132000000,0;1208000000,0;1542000000,0;1618000000,0;1968000000,0;2020000000,0;2291000000,0;2561000000,0;3126000000,0
Inventario;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos pagados por anticipado;103000000,0;137000000,0;151000000,0;550000000,0;562000000,0;712000000,0;757000000,0;856000000,0;2668000000,0;2584000000,0;3312000000,0;2679000000,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;73000000,0;63000000,0;122000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;1028000000,0;871000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;1498000000,0;1072000000,0;1027000000,0;1031000000,0;1491000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro activo corriente;73000000,0;63000000,0;122000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de activo corriente;9562000000,0;10892000000,0;14313000000,0;19023000000,0;18216000000,0;20970000000,0;27645000000,0;27607000000,0;30205000000,0;33532000000,0;34033000000,0;37766000000,0
Inmobilizado material bruto;3915000000,0;4283000000,0;4798000000,0;5143000000,0;5697000000,0;6570000000,0;7161000000,0;7674000000,0;8881000000,0;8780000000,0;9297000000,0;10106000000,0
