;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Beneficio neto a acciones comunes excluidos extradordinarios;3789000000,0;14653000000,0;16524000000,0;16804000000,0;26696000000,0;25998000000,0;0,0;0,0;0,0;0,0;0,0;29278000000,0
BPA diluido sin extraordinarios;0,36;1,31;1,5;1,56;2,61;2,75;1,87;3,57;3,19;3,08;3,21;3,81
Promedio ponderado de acciones diluidas en circulacion;10584535000,0;11213992000,0;11035657000,0;10778428000,0;10236900000,0;9442900000,0;8796900000,0;8558400000,0;8167500000,0;8080500000,0;7935800000,0;7680900000,0
Promedio ponderado de acciones basicas en circulacion;10527818000,0;10462282000,0;10284147000,0;10195646000,0;10096500000,0;9390500000,0;8753200000,0;8493300000,0;8113700000,0;8028600000,0;7855500000,0;7521900000,0
Total de acciones fuera. en la fecha de presentacion;10519566829,0;10325631017,0;10025121972,0;10243688896,0;9658759764,0;8728530308,0;8633185862,0;8069801301,0;8003839222,0;7872657542,0;7604677274,0;7176682170,0
Dividendo por accion;0,05;0,05;0,075;0,39;0,54;0,18;0,18;0,21;0,22;0,24;1,0;1,08
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;0,36;1,37;1,58;1,63;2,64;2,77;1,88;3,6;3,21;3,1;3,25;3,86
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;17789000000,0;32619000000,0;35114000000,0;42125000000,0;53921000000,0;55099000000,0;27220000000,0;38714000000,0;51072000000,0;101673000000,0;29254000000,0;37695000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;138589000000,0;159353000000,0;147738000000,0;157434000000,0;177404000000,0;161560000000,0;36430000000,0;29222000000,0;30334000000,0;27892000000,0;26003000000,0;28595000000,0
Inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cuentas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros por cobrar;61845000000,0;58312000000,0;58759000000,0;61623000000,0;65814000000,0;55937000000,0;64221000000,0;72263000000,0;67543000000,0;81881000000,0;82247000000,0;98186000000,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;909059000000,0;966737000000,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inventario;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos pagados por anticipado;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;0,0;0,0;0,0;0,0;22600000000,0;24400000000,0;7000000000,0;5900000000,0;7600000000,0;5600000000,0;6100000000,0;6500000000,0
Otro activo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de activo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inmobilizado material bruto;10049000000,0;9485000000,0;9139000000,0;9247000000,0;9906000000,0;10561000000,0;11000000000,0;10833000000,0;11510000000,0;11855000000,0;12168000000,0;12516000000,0
Depreciacion acumulada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inmobilizado material neto;10049000000,0;9485000000,0;9139000000,0;9247000000,0;9906000000,0;10561000000,0;11000000000,0;10833000000,0;11510000000,0;11855000000,0;12168000000,0;12516000000,0
Inversiones a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondo de comercio;69777000000,0;69761000000,0;68969000000,0;68951000000,0;68951000000,0;68951000000,0;68951000000,0;69022000000,0;69022000000,0;69021000000,0;69021000000,0;69021000000,0
Otros intangibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2200000000,0;2100000000,0;2000000000,0;2000000000,0;1800000000,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division financiera Otros activos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;37830000000,0;32212000000,0;28371000000,0;19462000000,0;17595000000,0;16690000000,0;20002000000,0;20606000000,0;23498000000,0;23626000000,0;22936000000,0;21870000000,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activo total;2104534000000,0;2144287000000,0;2187702000000,0;2281234000000,0;2354507000000,0;2434079000000,0;2819627000000,0;3169495000000,0;3051375000000,0;3180151000000,0;3261519000000,0;3411738000000,0
Cuentas por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos devengados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos de corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13100000000,0;24200000000,0;20400000000,0
Porcion corriente de la deuda a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de las obligaciones de arrendamiento financiero;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros Pasivos Corrientes de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos sobre la renta actuales por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Unearned Revenue Current;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuestos diferidos Corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total pasivo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda a largo plazo;243139000000,0;236764000000,0;216823000000,0;227402000000,0;229340000000,0;240856000000,0;262934000000,0;280117000000,0;275982000000,0;302204000000,0;283279000000,0;317816000000,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda No Corriente de la Division de Finanzas;243139000000,0;236764000000,0;216823000000,0;227402000000,0;229340000000,0;240856000000,0;262934000000,0;280117000000,0;275982000000,0;302204000000,0;283279000000,0;317816000000,0
