;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;3161700000,0;1940000000,0;1523900000,0;2159100000,0;2368400000,0;3253000000,0;2751000000,0;5963000000,0;7131000000,0;10166000000,0;7100000000,0;5027000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;3160700000,0;1939200000,0;1523200000,0;2158500000,0;2368000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;8,63;5,77;4,81;6,68;7,24;10,15;8,69;18,99;23,28;34,63;25,62;18,5
Promedio ponderado de acciones diluidas en circulacion;366100000,0;336000000,0;316600000,0;323300000,0;327300000,0;320600000,0;316600000,0;314000000,0;306300000,0;293600000,0;277100000,0;271700000,0
Promedio ponderado de acciones basicas en circulacion;363000000,0;333600000,0;315200000,0;319500000,0;322600000,0;316500000,0;313500000,0;311600000,0;304500000,0;292200000,0;276000000,0;270900000,0
Total de acciones fuera. en la fecha de presentacion;344295604,0;316700104,0;316872632,0;322595010,0;318570788,0;313275755,0;313361302,0;307407282,0;298237257,0;280255442,0;271575282,0;270445437,0
Dividendo por accion;2,22;2,4;2,4;2,4;2,58;3,04;3,04;3,61;4,36;5,05;5,88;6,48
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;8,71;5,81;4,83;6,76;7,34;10,28;8,77;19,14;23,42;34,8;25,73;18,55
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;5452200000,0;3460100000,0;2987700000,0;4029700000,0;5298900000,0;5571000000,0;5080000000,0;8614000000,0;10200000000,0;15490000000,0;12542000000,0;9456000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;1452000000,0;1425100000,0;1389100000,0;1367700000,0;1657600000,0;1783000000,0;1644000000,0;1587000000,0;1912000000,0;2177000000,0;2290000000,0;2311000000,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;3787000000,0;4162200000,0;4335800000,0;9334900000,0;3904000000,0;3857000000,0;7066000000,0;8017000000,0;4774000000,0;7458000000,0;7324000000,0;8276000000,0
Inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos financieros para vender;1215100000,0;437400000,0;453500000,0;451600000,0;490100000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;3787000000,0;4162200000,0;4335800000,0;9334900000,0;3904000000,0;3857000000,0;7066000000,0;8017000000,0;4774000000,0;7458000000,0;7324000000,0;8276000000,0
Cuentas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros por cobrar;1500300000,0;991200000,0;1018500000,0;1200000000,0;1735500000,0;1487000000,0;1220000000,0;1738000000,0;2492000000,0;2623000000,0;2545000000,0;2403000000,0
Notas por cobrar;61000000,0;90000000,0;143000000,0;140000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inventario;4209700000,0;3817000000,0;3340500000,0;3904100000,0;6148900000,0;5975000000,0;4999000000,0;6781000000,0;8495000000,0;8160000000,0;7093000000,0;7406000000,0
Gastos pagados por anticipado;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;0,0;0,0;0,0;0,0;0,0;99000000,0;106000000,0;108000000,0;0,0;0,0;0,0;0,0
Otro activo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de activo corriente;7996700000,0;7979200000,0;7676300000,0;13239000000,0;10052900000,0;9832000000,0;12065000000,0;14798000000,0;13269000000,0;15618000000,0;14417000000,0;15682000000,0
Inmobilizado material bruto;5577800000,0;5181500000,0;5170600000,0;5067700000,0;5867500000,0;5973000000,0;0,0;0,0;0,0;0,0;0,0;0,0
Depreciacion acumulada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inmobilizado material neto;5577800000,0;5181500000,0;5170600000,0;5067700000,0;5867500000,0;5973000000,0;0,0;0,0;0,0;0,0;0,0;0,0
Inversiones a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondo de comercio;791200000,0;726000000,0;815700000,0;1033300000,0;3100700000,0;2917000000,0;3081000000,0;3291000000,0;3687000000,0;3900000000,0;3959000000,0;4188000000,0
Otros intangibles;68800000,0;63600000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;0,0;0,0;39000000,0;38000000,0;30000000,0;49000000,0;72000000,0;73000000,0
Division financiera Otros activos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;3793000000,0;3932000000,0;4487000000,0;4030000000,0;2184000000,0;2598000000,0;2394000000,0;2183000000,0;1834000000,0;3002000000,0;3135000000,0;3557000000,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activo total;61336400000,0;57947600000,0;57981400000,0;65786300000,0;70108000000,0;73011000000,0;75091000000,0;84114000000,0;90030000000,0;104087000000,0;107320000000,0;105996000000,0
Cuentas por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos devengados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos de corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10919000000,0;12592000000,0;17939000000,0;13533000000,0;13796000000,0
Porcion corriente de la deuda a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de las obligaciones de arrendamiento financiero;0,0;0,0;0,0;0,0;0,0;0,0;21000000,0;23000000,0;21000000,0;25000000,0;33000000,0;39000000,0
Deuda corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10919000000,0;12592000000,0;17939000000,0;13533000000,0;13796000000,0
Otros Pasivos Corrientes de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos sobre la renta actuales por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Unearned Revenue Current;0,0;0,0;0,0;0,0;0,0;1010000000,0;1090000000,0;1344000000,0;557000000,0;676000000,0;744000000,0;837000000,0
Pasivo por impuestos diferidos Corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total pasivo corriente;0,0;0,0;0,0;0,0;0,0;1010000000,0;1090000000,0;12263000000,0;13149000000,0;18615000000,0;14277000000,0;14633000000,0
Deuda a largo plazo;24380700000,0;23832800000,0;0,0;25891300000,0;27237400000,0;30229000000,0;32734000000,0;32888000000,0;0,0;0,0;0,0;0,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;0,0;0,0;39000000,0;38000000,0;30000000,0;49000000,0;72000000,0;73000000,0
Deuda No Corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro Pasivo No Corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos no devengados no corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pension y otros beneficios posteriores a la jubilacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuesto diferido no corriente;160900000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro pasivo no corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo Total;52270900000,0;51190000000,0;51436600000,0;56211800000,0;58802800000,0;61580000000,0;62147000000,0;65680000000,0;69673000000,0;82201000000,0;84395000000,0;79989000000,0
Acciones preferentes reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes no reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes convertibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total preferentes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones comunes;3675400000,0;3825600000,0;3911800000,0;4280500000,0;4474200000,0;4642000000,0;4895000000,0;5054000000,0;5165000000,0;5303000000,0;5489000000,0;5668000000,0
Prima de suscripcion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio no distribuido;22004400000,0;23144800000,0;23911300000,0;25301300000,0;27553000000,0;29852000000,0;31646000000,0;36449000000,0;42247000000,0;50931000000,0;56402000000,0;59676000000,0
Autocartera;12834200000,0;15497600000,0;15677100000,0;15460800000,0;16311800000,0;17474000000,0;18065000000,0;20533000000,0;0,0;0,0;0,0;0,0
Resultado integral y otros;-3783000000,0;-4729400000,0;-5626000000,0;-4563700000,0;-4427600000,0;-5607000000,0;-5539000000,0;-2539000000,0;-3056000000,0;-3114000000,0;-3706000000,0;-3032000000,0
Patrimonio neto comun total;9062600000,0;6743400000,0;6520000000,0;9557300000,0;11287800000,0;11413000000,0;12937000000,0;18431000000,0;20262000000,0;21785000000,0;22836000000,0;25950000000,0
Intereses minoritario;2900000,0;14200000,0;10800000,0;3200000,0;3400000,0;4000000,0;7000000,0;3000000,0;3000000,0;4000000,0;7000000,0;6000000,0
Fondos propios totales;9062600000,0;6743400000,0;6520000000,0;9557300000,0;11287800000,0;11413000000,0;12937000000,0;18431000000,0;20262000000,0;21785000000,0;22836000000,0;25950000000,0
